"index","type","tag","title","author","year","volume","number","journal","pages","editor","booktitle","publisher","address","doi","misc","keywords","url","Link"
"275","techreport","tbep0120","2019 Tampa Bay Water Quality Assessment","M. Beck, M. Burke, G. Raulerson","2020","NA","#01-20","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","status and trends, water quality, chlorophyll, light attenuation, seagrass","https://tbeptech.org/TBEP_TECH_PUBS/2020/TBEP_01_20_2019_Decision_Matrix_Update.pdf","<a href=""https://tbeptech.org/TBEP_TECH_PUBS/2020/TBEP_01_20_2019_Decision_Matrix_Update.pdf"">View Document</a>"
"274","techreport","tbep0119","2018 Tampa Bay Water Quality Assessment","M. Burke, G. Raulerson","2019","NA","#01-19","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","status and trends, water quality, chlorophyll, light attenuation, seagrass","http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_01_19_2018_Decision_Matrix_Update_FINAL.pdf","<a href=""http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_01_19_2018_Decision_Matrix_Update_FINAL.pdf"">View Document</a>"
"273","techreport","tbep0219","Tampa Bay Dredged Hole Assessment and Management Recommendations: 2019 Synthesis Report","G. Raulerson, A. Hershorin, D. Karlen, T. MacDonald, A. Tyler-Jedlund","2019","NA","#02-19","NA","NA","NA","NA","Final report prepared for the Tampa Bay Environmental Restoration Fund","St. Petersburg, Florida","NA","NA","assessment, bay habitats, dredging, shipping, TBERF","http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_02_19_Dredged_Hole_Synthesis.pdf","<a href=""http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_02_19_Dredged_Hole_Synthesis.pdf"">View Document</a>"
"272","article","tbep0319","Blue Carbon: An Additional Driver for Restoring and Preserving Ecological Services of Coastal Wetlands in Tampa Bay(Florida, USA)","L. Sheehan, E. Sherwood, R. Moyer, K. Radabaugh, S. Simpson","2019","NA","NA","Wetlands","NA","NA","NA","Wetlands","NA","10.1007/s13157-019-01137-y","#03-19","bay habitats, climate change, restoration, sea level rise","https://doi.org/10.1007/s13157-019-01137-y","<a href=""https://doi.org/10.1007/s13157-019-01137-y"">View Document</a>"
"271","techreport","tbep0419","Facilitation of seagrass productivity in Tampa Bay using the indigenous, suspension feeding bivalve, Mercenaria campechiensis","B. Barber","2019","NA","#04-19","NA","NA","NA","NA","Final report prepared for the Tampa Bay Environmental Restoration Fund","St. Petersburg, Florida","NA","NA","bay habitats, seagrass, shellfish, TBERF, water quality","http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_04_19_TBERF_Mercenaria_GSI.pdf","<a href=""http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_04_19_TBERF_Mercenaria_GSI.pdf"">View Document</a>"
"270","techreport","tbep0519","Recommended Projections of Sea Level Rise for the Tampa Bay Region (Update)","M. Burke, L. Carnahan, K. Hammer-Levy, G. Mitchum","2019","NA","#05-19","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","climate change, modelling, sea level rise, status and trends","http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_05_19_CSAP_SLR_Recommendation.pdf","<a href=""http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_05_19_CSAP_SLR_Recommendation.pdf"">View Document</a>"
"269","techreport","tbep0619","Ship Wakes in Tampa Bay","S.D. Meyers, M.E. Luther","2019","NA","#06-19","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","modelling, shipping, spatial analysis","http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_06_19_Ship_Wakes.pdf","<a href=""http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_06_19_Ship_Wakes.pdf"">View Document</a>"
"268","article","tbep0709","Assessment of the Cumulative Effects of Restoration Activities on Water Quality in Tampa Bay, Florida","M. Beck, E. Sherwood, J. Henkel, K. Dorans, K. Ireland, P. Varela","2019","42","7","Estuaries & Coasts","1774-1791","NA","NA","Estuaries & Coasts","NA","10.1007/s12237-019-00619-w","#07-19","chlorophyll, open science, restoration, spatial analysis, water quality","https://doi.org/10.1007/s12237-019-00619-w","<a href=""https://doi.org/10.1007/s12237-019-00619-w"">View Document</a>"
"267","techreport","tbep0819","Tampa Bay Hard Bottom Mapping Project","CSA Ocean Sciences, Inc.","2019","NA","#08-19","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","bay habitats, benthos, spatial analysis, TBERF","http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_08-19_Hard_Bottom_Habitats.pdf","<a href=""http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_08-19_Hard_Bottom_Habitats.pdf"">View Document</a>"
"266","techreport","tbep0919","Effects of the Toxic Dinoflagellate Pyrodinium bahamense on Feeding Efficiency and Toxicity in Bivalve Grazers","C.B. Lopez, S. Shankar, S.M. Garcia, S.P. Geiger, K.A. Hubbard, L.J. Flewelling","2019","NA","#09-19","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","chlorophyll, fish and wildlife, shellfish, water quality","http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_09-19_Pyrodinium_Grazing.pdf","<a href=""http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_09-19_Pyrodinium_Grazing.pdf"">View Document</a>"
